t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776502260.114,169.000,11059,idle,0,1,0,0,0,0,0,0
1776502261.106,170.000,11111,idle,0,1,0,0,0,0,0,0
1776502262.108,171.000,11163,idle,0,1,0,0,0,0,0,0
1776502263.111,172.000,11216,idle,0,1,0,0,0,0,0,0
1776502264.110,173.002,11268,idle,0,1,0,0,0,0,0,0
1776502265.111,174.001,11321,idle,0,1,0,0,0,0,0,0
1776502266.108,175.000,11373,idle,0,1,0,0,0,0,0,0
1776502267.106,176.000,11425,idle,0,1,0,0,0,0,0,0
1776502268.107,177.000,11477,idle,0,1,0,0,0,0,0,0
1776502269.114,178.002,11530,idle,0,1,0,0,0,0,0,0
1776502270.111,179.001,11580,idle,0,1,0,0,0,0,0,0
1776502271.116,180.002,11633,idle,0,1,0,0,0,0,0,0
1776502272.106,181.000,11685,active_or_baseline,0,0,0,0,0,0,0,0
1776502273.107,182.000,11737,active_or_baseline,0,0,0,0,0,0,0,0
1776502274.111,183.000,11790,active_or_baseline,0,0,0,0,0,0,0,0
1776502275.108,184.000,11842,active_or_baseline,0,0,0,0,0,0,0,0
1776502276.119,185.000,11886,active_or_baseline,0,0,0,0,0,0,0,0
1776502277.111,186.000,11936,active_or_baseline,0,0,0,0,0,0,0,0
1776502278.111,187.005,11987,active_or_baseline,0,0,0,0,0,0,0,0
1776502279.108,188.000,12035,active_or_baseline,0,0,0,0,0,0,0,0
1776502280.111,189.000,12084,active_or_baseline,0,0,0,0,0,0,0,0
1776502281.108,190.000,12132,dnd,1,0,0,0,0,0,0,0
1776502282.107,191.000,12181,dnd,1,0,0,0,0,0,0,0
1776502283.108,192.000,12233,dnd,1,0,0,0,0,0,0,0
1776502284.109,193.000,12285,dnd,1,0,0,0,0,0,0,0
1776502285.107,194.000,12338,dnd,1,0,0,0,0,0,0,0
1776502286.113,195.002,12390,dnd,1,0,0,0,0,0,0,0
1776502287.108,196.000,12442,dnd,1,0,0,0,0,0,0,0
1776502288.111,197.000,12493,dnd,1,0,0,0,0,0,0,0
1776502289.107,198.000,12545,dnd,1,0,0,0,0,0,0,0
1776502290.111,199.000,12598,dnd,1,0,0,0,0,0,0,0
1776502291.111,200.001,12650,dnd,1,0,0,0,0,0,0,0
1776502292.107,201.000,12702,dnd,1,0,0,0,0,0,0,0
1776502293.113,202.000,12755,dnd,1,0,0,0,0,0,0,0
1776502294.107,203.000,12807,dnd,1,0,0,0,0,0,0,0
1776502295.106,204.000,12859,dnd,1,0,0,0,0,0,0,0
1776502296.105,205.000,12911,dnd,1,0,0,0,0,0,0,0
1776502297.109,206.003,12964,dnd,1,0,0,0,0,0,0,0
1776502298.106,207.000,13016,dnd,1,0,0,0,0,0,0,0
1776502299.106,208.000,13068,dnd,1,0,0,0,0,0,0,0
1776502300.111,209.003,13121,dnd,1,0,0,0,0,0,0,0
1776502301.109,210.000,13173,dnd,1,0,0,0,0,0,0,0
1776502302.107,211.000,13225,dnd,1,0,0,0,0,0,0,0
1776502303.105,212.000,13277,dnd,1,0,0,0,0,0,0,0
1776502304.107,213.000,13330,dnd,1,0,0,0,0,0,0,0
1776502305.105,214.000,13382,dnd,1,0,0,0,0,0,0,0
1776502306.106,215.000,13434,dnd,1,0,0,0,0,0,0,0
1776502307.108,216.000,13487,dnd,1,0,0,0,0,0,0,0
1776502308.105,217.000,13539,dnd,1,0,0,0,0,0,0,0
1776502309.105,218.000,13591,dnd,1,0,0,0,0,0,0,0
1776502310.108,219.000,13644,dnd,1,0,0,0,0,0,0,0
1776502311.105,220.000,13696,dnd,1,0,0,0,0,0,0,0
1776502312.107,221.000,13748,dnd,1,0,0,0,0,0,0,0
1776502313.109,222.000,13801,dnd,1,0,0,0,0,0,0,0
1776502314.105,223.000,13853,dnd,1,0,0,0,0,0,0,0
1776502315.106,224.000,13905,dnd,1,0,0,0,0,0,0,0
1776502316.108,225.000,13958,dnd,1,0,0,0,0,0,0,0
1776502317.105,226.000,14010,dnd,1,0,0,0,0,0,0,0
1776502318.107,227.000,14062,dnd,1,0,0,0,0,0,0,0
1776502319.111,228.000,14115,dnd,1,0,0,0,0,0,0,0
1776502320.106,229.000,14167,dnd,1,0,0,0,0,0,0,0
1776502321.111,230.000,14219,dnd,1,0,0,0,0,0,0,0
1776502322.106,231.000,14271,dnd,1,0,0,0,0,0,0,0
1776502323.116,232.000,14321,dnd,1,0,0,0,0,0,0,0
1776502324.108,233.003,14376,dnd,1,0,0,0,0,0,0,0
1776502325.107,234.000,14428,dnd,1,0,0,0,0,0,0,0
1776502326.106,235.000,14480,dnd,1,0,0,0,0,0,0,0
1776502327.106,236.000,14533,dnd,1,0,0,0,0,0,0,0
1776502328.108,237.001,14585,dnd,1,0,0,0,0,0,0,0
1776502329.111,238.000,14638,dnd,1,0,0,0,0,0,0,0
1776502330.106,239.000,14690,dnd,1,0,0,0,0,0,0,0
1776502331.106,240.000,14742,dnd,1,0,0,0,0,0,0,0
1776502332.106,241.000,14794,dnd,1,0,0,0,0,0,0,0
1776502333.106,242.001,14847,dnd,1,0,0,0,0,0,0,0
1776502334.105,243.000,14899,dnd,1,0,0,0,0,0,0,0
1776502335.111,244.000,14952,dnd,1,0,0,0,0,0,0,0
1776502336.109,245.000,15003,dnd,1,0,0,0,0,0,0,0
1776502337.106,246.000,15056,dnd,1,0,0,0,0,0,0,0
1776502338.106,247.000,15108,dnd,1,0,0,0,0,0,0,0
1776502339.106,248.000,15161,dnd,1,0,0,0,0,0,0,0
1776502340.106,249.000,15213,dnd,1,0,0,0,0,0,0,0
1776502341.110,250.000,15265,dnd,1,0,0,0,0,0,0,0
1776502342.110,251.000,15318,dnd,1,0,0,0,0,0,0,0
1776502343.111,252.001,15370,dnd,1,0,0,0,0,0,0,0
1776502344.106,253.000,15422,dnd,1,0,0,0,0,0,0,0
1776502345.105,254.000,15474,dnd,1,0,0,0,0,0,0,0
1776502346.107,255.000,15527,dnd,1,0,0,0,0,0,0,0
1776502347.107,256.002,15579,dnd,1,0,0,0,0,0,0,0
1776502348.105,257.000,15631,dnd,1,0,0,0,0,0,0,0
1776502349.106,258.000,15683,dnd,1,0,0,0,0,0,0,0
1776502350.109,259.003,15736,dnd,1,0,0,0,0,0,0,0
1776502351.106,260.000,15788,dnd,1,0,0,0,0,0,0,0
1776502352.111,261.003,15841,dnd,1,0,0,0,0,0,0,0
1776502353.105,262.000,15893,dnd,1,0,0,0,0,0,0,0
1776502354.106,263.000,15945,dnd,1,0,0,0,0,0,0,0
1776502355.108,264.000,15998,dnd,1,0,0,0,0,0,0,0
1776502356.109,265.003,16050,dnd,1,0,0,0,0,0,0,0
1776502357.105,266.000,16102,dnd,1,0,0,0,0,0,0,0
1776502358.106,267.000,16154,dnd,1,0,0,0,0,0,0,0
1776502359.106,268.000,16207,dnd,1,0,0,0,0,0,0,0
1776502360.109,269.000,16259,dnd,1,0,0,0,0,0,0,0
1776502361.108,270.002,16311,dnd,1,0,0,0,0,0,0,0
1776502362.110,271.003,16364,dnd,1,0,1,0,0,0,0,0
1776502363.105,272.000,16416,dnd,1,0,1,0,0,0,0,0
1776502364.108,273.000,16468,dnd,1,0,1,0,0,0,0,0
1776502365.105,274.000,16521,dnd,1,0,1,0,0,0,0,0
1776502366.106,275.000,16573,dnd,1,0,1,0,0,0,0,0
1776502367.108,276.000,16625,dnd,1,0,1,0,0,0,0,0
1776502368.105,277.000,16677,dnd,1,0,1,0,0,0,0,0
1776502369.111,278.000,16730,dnd,1,0,1,0,0,0,0,0
1776502370.106,279.000,16782,dnd,1,0,1,0,0,0,0,0
1776502371.106,280.000,16834,dnd,1,0,1,0,0,0,0,0
1776502372.109,281.000,16887,dnd,1,0,1,0,0,0,0,0
1776502373.115,282.001,16940,dnd,1,0,1,0,0,0,0,0
1776502374.106,283.000,16991,dnd,1,0,1,0,0,0,0,0
1776502375.116,284.001,17044,dnd,1,0,1,0,0,0,0,0
1776502376.106,285.000,17096,dnd,1,0,1,0,0,0,0,0
1776502377.108,286.000,17148,dnd,1,0,1,0,0,0,0,0
1776502378.106,287.000,17201,dnd,1,0,1,0,0,0,0,0
1776502379.107,288.000,17253,dnd,1,0,1,0,0,0,0,0
1776502380.105,289.000,17305,dnd,1,0,1,0,0,0,0,0
1776502381.105,290.000,17357,dnd,1,0,1,0,0,0,0,0
1776502382.106,291.000,17410,dnd,1,0,1,0,0,0,0,0
1776502383.106,292.000,17462,dnd,1,0,1,0,0,0,0,0
1776502384.106,293.000,17514,dnd,1,0,1,0,0,0,0,0
1776502385.109,294.003,17567,dnd,1,0,1,0,0,0,0,0
1776502386.109,295.003,17619,dnd,1,0,1,0,0,0,0,0
1776502387.107,296.000,17671,dnd,1,0,1,0,0,0,0,0
1776502388.108,297.000,17724,dnd,1,0,1,0,0,0,0,0
1776502389.107,298.000,17776,dnd,1,0,1,0,0,0,0,0
1776502390.107,299.000,17828,dnd,1,0,1,0,0,0,0,0
1776502391.107,300.000,17880,dnd,1,0,1,0,0,0,0,0
1776502392.107,301.000,17933,active_or_baseline,0,0,0,0,0,0,0,0
1776502393.112,302.000,17984,active_or_baseline,0,0,0,0,0,0,0,0
1776502394.106,303.000,18036,active_or_baseline,0,0,0,0,0,0,0,0
1776502395.110,304.001,18089,active_or_baseline,0,0,0,0,0,0,0,0
1776502396.107,305.000,18141,active_or_baseline,0,0,0,0,0,0,0,0
1776502397.107,306.000,18193,active_or_baseline,0,0,0,0,0,0,0,0
1776502398.107,307.000,18246,active_or_baseline,0,0,0,0,0,0,0,0
1776502399.107,308.001,18298,active_or_baseline,0,0,0,0,0,0,0,0
1776502400.106,309.000,18350,active_or_baseline,0,0,0,0,0,0,0,0
1776502401.106,310.000,18402,active_or_baseline,0,0,0,0,0,0,0,0
1776502402.106,311.000,18455,active_or_baseline,0,0,0,0,0,0,0,0
1776502403.109,312.000,18507,active_or_baseline,0,0,0,0,0,0,0,0
1776502404.108,313.000,18559,active_or_baseline,0,0,0,0,0,0,0,0
1776502405.109,314.000,18612,active_or_baseline,0,0,0,0,0,0,0,0
1776502406.106,315.000,18664,active_or_baseline,0,0,0,0,0,0,0,0
1776502407.106,316.000,18716,active_or_baseline,0,0,0,0,0,0,0,0
1776502408.108,317.001,18769,active_or_baseline,0,0,0,0,0,0,0,0
1776502409.110,318.000,18821,active_or_baseline,0,0,0,0,0,0,0,0
1776502410.107,319.000,18873,active_or_baseline,0,0,0,0,0,0,0,0
1776502411.106,320.000,18925,active_or_baseline,0,0,0,0,0,0,0,0
