epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,1214.81,1.23507,1.13734,1.34281,0.78822,0.68079,0.75569,0.53893,1.25229,1.10458,1.37475,0.0243229,0.00810763,0.0243229,0.00810763,0.0243229,0.00810763,0.0243229,0.00810763
45,1241.8,1.23474,1.13137,1.34416,0.81719,0.70498,0.77654,0.55023,1.25157,1.06672,1.37176,0.0240749,0.00802497,0.0240749,0.00802497,0.0240749,0.00802497,0.0240749,0.00802497
46,1268.85,1.22104,1.1036,1.32982,0.78418,0.69425,0.75874,0.53748,1.27013,1.09846,1.38144,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099
47,1296.13,1.21697,1.11415,1.33194,0.8144,0.71006,0.79385,0.57129,1.24614,1.08883,1.36609,0.0235671,0.00785571,0.0235671,0.00785571,0.0235671,0.00785571,0.0235671,0.00785571
48,1323.29,1.22019,1.10688,1.32541,0.80214,0.71604,0.78224,0.56339,1.23941,1.0894,1.36966,0.0233076,0.00776919,0.0233076,0.00776919,0.0233076,0.00776919,0.0233076,0.00776919
49,1350.17,1.21244,1.08436,1.32498,0.79591,0.73233,0.79156,0.57473,1.2285,1.04961,1.35467,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145
50,1377.06,1.20259,1.07265,1.30919,0.85031,0.7024,0.79428,0.5747,1.24011,1.06931,1.36499,0.0227776,0.00759254,0.0227776,0.00759254,0.0227776,0.00759254,0.0227776,0.00759254
51,1404.01,1.20703,1.08324,1.32385,0.78562,0.75912,0.79942,0.56985,1.25283,1.05553,1.36307,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025
52,1430.76,1.19869,1.05708,1.29655,0.76655,0.75022,0.79797,0.57441,1.24951,1.07335,1.35535,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136
53,1457.94,1.18938,1.057,1.30238,0.75165,0.75732,0.79994,0.56917,1.23245,1.04564,1.35734,0.0219575,0.00731916,0.0219575,0.00731916,0.0219575,0.00731916,0.0219575,0.00731916
54,1485.19,1.1809,1.0483,1.29647,0.78895,0.72465,0.78157,0.56665,1.23894,1.05697,1.35106,0.0216779,0.00722595,0.0216779,0.00722595,0.0216779,0.00722595,0.0216779,0.00722595
55,1512.2,1.19008,1.04549,1.30191,0.8166,0.70891,0.79272,0.57362,1.21706,1.07542,1.34215,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177
56,1539.13,1.1739,1.0305,1.29774,0.76792,0.76283,0.77822,0.55606,1.23966,1.07484,1.36192,0.0211099,0.00703665,0.0211099,0.00703665,0.0211099,0.00703665,0.0211099,0.00703665
57,1566.06,1.17855,1.03659,1.29784,0.83132,0.70347,0.78585,0.56482,1.23306,1.05754,1.36185,0.0208219,0.00694064,0.0208219,0.00694064,0.0208219,0.00694064,0.0208219,0.00694064
58,1593.43,1.16445,1.01928,1.29039,0.84936,0.72617,0.80752,0.58568,1.23569,1.05349,1.36219,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378
59,1620.23,1.16403,1.01995,1.28532,0.8015,0.72755,0.78332,0.56991,1.23375,1.06224,1.35331,0.0202384,0.00674612,0.0202384,0.00674612,0.0202384,0.00674612,0.0202384,0.00674612
60,1647.35,1.16462,1.01814,1.29034,0.81457,0.73922,0.79828,0.57427,1.225,1.04922,1.35256,0.0199431,0.00664769,0.0199431,0.00664769,0.0199431,0.00664769,0.0199431,0.00664769
61,1674.27,1.1564,0.99589,1.27635,0.83419,0.7178,0.81071,0.59367,1.23474,1.04433,1.34994,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854
62,1701.4,1.15855,0.99902,1.2791,0.78538,0.7681,0.79456,0.58701,1.21533,1.03963,1.33954,0.0193461,0.00644871,0.0193461,0.00644871,0.0193461,0.00644871,0.0193461,0.00644871
63,1728.29,1.13978,0.98193,1.26568,0.77475,0.77037,0.79564,0.58939,1.21113,1.01435,1.33902,0.0190448,0.00634825,0.0190448,0.00634825,0.0190448,0.00634825,0.0190448,0.00634825
64,1755.47,1.14163,0.98047,1.27045,0.80944,0.76663,0.8119,0.59636,1.23236,1.01786,1.34965,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721
65,1782.49,1.13659,0.97371,1.26062,0.81757,0.73428,0.80063,0.59035,1.23218,1.04758,1.3504,0.0184368,0.00614561,0.0184368,0.00614561,0.0184368,0.00614561,0.0184368,0.00614561
66,1809.45,1.13396,0.9685,1.26768,0.83247,0.74581,0.80991,0.58465,1.21183,1.02249,1.34228,0.0181306,0.00604352,0.0181306,0.00604352,0.0181306,0.00604352,0.0181306,0.00604352
67,1836.11,1.12142,0.95576,1.25729,0.83213,0.71348,0.81594,0.60075,1.20375,1.00357,1.33504,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097
68,1863.21,1.12361,0.95941,1.25732,0.81427,0.77884,0.81513,0.59364,1.21843,1.02617,1.33943,0.017514,0.00583801,0.017514,0.00583801,0.017514,0.00583801,0.017514,0.00583801
69,1890.22,1.1166,0.94301,1.25545,0.79712,0.74778,0.80829,0.58682,1.2135,1.04991,1.33553,0.0172041,0.00573468,0.0172041,0.00573468,0.0172041,0.00573468,0.0172041,0.00573468
70,1916.88,1.10699,0.92797,1.24192,0.7912,0.77064,0.80763,0.5941,1.22582,1.03918,1.34675,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104
71,1943.67,1.11558,0.91847,1.24454,0.82595,0.77119,0.81781,0.60961,1.21709,1.02353,1.3384,0.0165814,0.00552712,0.0165814,0.00552712,0.0165814,0.00552712,0.0165814,0.00552712
72,1970.56,1.09593,0.92385,1.24133,0.83586,0.77292,0.83259,0.61741,1.2269,1.00405,1.33888,0.0162689,0.00542297,0.0162689,0.00542297,0.0162689,0.00542297,0.0162689,0.00542297
73,1997.67,1.10438,0.92673,1.24714,0.79397,0.78471,0.81908,0.60789,1.21445,1.03293,1.33531,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864
74,2024.86,1.10412,0.92461,1.24005,0.80028,0.75866,0.81114,0.60009,1.22519,1.05389,1.33671,0.0156425,0.00521417,0.0156425,0.00521417,0.0156425,0.00521417,0.0156425,0.00521417
75,2052.16,1.09204,0.90959,1.23235,0.83512,0.74929,0.81419,0.60062,1.22111,1.03649,1.34847,0.0153288,0.00510961,0.0153288,0.00510961,0.0153288,0.00510961,0.0153288,0.00510961
76,2079.38,1.09209,0.90757,1.24065,0.8267,0.76001,0.81473,0.60716,1.21402,1.02459,1.3319,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
77,2106.62,1.08247,0.88096,1.22072,0.82238,0.7756,0.81496,0.60316,1.20807,1.04597,1.33495,0.0147012,0.00490039,0.0147012,0.00490039,0.0147012,0.00490039,0.0147012,0.00490039
78,2134.17,1.07892,0.88703,1.22705,0.8419,0.74972,0.82423,0.6026,1.21927,1.01882,1.33932,0.0143875,0.00479583,0.0143875,0.00479583,0.0143875,0.00479583,0.0143875,0.00479583
79,2160.77,1.06982,0.8823,1.22286,0.83776,0.74544,0.82224,0.61333,1.20811,1.02997,1.32923,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136
80,2188,1.06394,0.8771,1.21321,0.85438,0.77423,0.83529,0.61907,1.21022,1.01682,1.33098,0.0137611,0.00458703,0.0137611,0.00458703,0.0137611,0.00458703,0.0137611,0.00458703
81,2215.38,1.05774,0.85657,1.21018,0.83269,0.79299,0.82601,0.61417,1.20933,1.02498,1.33471,0.0134486,0.00448288,0.0134486,0.00448288,0.0134486,0.00448288,0.0134486,0.00448288
82,2242.33,1.06543,0.86022,1.21949,0.83852,0.79998,0.82359,0.61748,1.21099,1.02516,1.33723,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896
83,2269.64,1.05998,0.86866,1.22004,0.85276,0.74621,0.80786,0.597,1.22698,1.03003,1.35722,0.0128259,0.00427532,0.0128259,0.00427532,0.0128259,0.00427532,0.0128259,0.00427532
84,2296.28,1.06318,0.86348,1.21336,0.81161,0.75194,0.81005,0.60508,1.20886,1.023,1.33438,0.012516,0.00417199,0.012516,0.00417199,0.012516,0.00417199,0.012516,0.00417199
85,2323.38,1.04808,0.84227,1.20537,0.84928,0.75021,0.81301,0.61345,1.20913,1.03284,1.34123,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903
86,2350.04,1.05567,0.83807,1.20084,0.83759,0.75787,0.81535,0.60741,1.22099,1.04475,1.34915,0.0118994,0.00396648,0.0118994,0.00396648,0.0118994,0.00396648,0.0118994,0.00396648
87,2376.98,1.04976,0.84579,1.20235,0.82997,0.77993,0.82517,0.60781,1.22445,1.00878,1.34626,0.0115932,0.00386439,0.0115932,0.00386439,0.0115932,0.00386439,0.0115932,0.00386439
88,2403.67,1.04332,0.82494,1.19639,0.8125,0.76486,0.81576,0.60331,1.21385,1.02389,1.3354,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279
89,2430.84,1.04166,0.83061,1.199,0.85363,0.74312,0.81631,0.60231,1.22284,1.02188,1.35172,0.0109852,0.00366175,0.0109852,0.00366175,0.0109852,0.00366175,0.0109852,0.00366175
90,2457.88,1.03843,0.82956,1.1981,0.82971,0.77288,0.81404,0.61095,1.22078,1.0237,1.34299,0.0106839,0.00356129,0.0106839,0.00356129,0.0106839,0.00356129,0.0106839,0.00356129
91,2485.04,1.03644,0.82057,1.19491,0.83072,0.77216,0.81739,0.61323,1.21143,1.02498,1.3353,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146
92,2511.96,1.03839,0.82842,1.19845,0.80548,0.77219,0.80912,0.60497,1.21028,1.03414,1.33373,0.0100869,0.00336231,0.0100869,0.00336231,0.0100869,0.00336231,0.0100869,0.00336231
93,2539.37,1.02547,0.81308,1.18992,0.81948,0.78263,0.81396,0.61506,1.20617,1.01707,1.33434,0.00979165,0.00326388,0.00979165,0.00326388,0.00979165,0.00326388,0.00979165,0.00326388
94,2566.63,1.02261,0.80689,1.18454,0.82968,0.76321,0.80363,0.60159,1.21253,1.00895,1.33466,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622
95,2594.16,1.01199,0.79333,1.17155,0.83342,0.75197,0.80201,0.60128,1.20858,1.02568,1.33898,0.00920808,0.00306936,0.00920808,0.00306936,0.00920808,0.00306936,0.00920808,0.00306936
96,2621.32,1.02255,0.80854,1.18257,0.83685,0.75618,0.79555,0.6022,1.21425,1.03663,1.33903,0.00892005,0.00297335,0.00892005,0.00297335,0.00892005,0.00297335,0.00892005,0.00297335
97,2648.71,1.01247,0.78897,1.1776,0.83335,0.76455,0.80889,0.61162,1.2117,1.03797,1.33937,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823
98,2675.85,1.01176,0.79092,1.17912,0.84161,0.74154,0.8014,0.60692,1.20595,1.04825,1.33375,0.00835214,0.00278405,0.00835214,0.00278405,0.00835214,0.00278405,0.00835214,0.00278405
99,2703.16,1.00404,0.7795,1.17083,0.84299,0.74006,0.81048,0.61325,1.20287,1.05035,1.32869,0.00807251,0.00269084,0.00807251,0.00269084,0.00807251,0.00269084,0.00807251,0.00269084
100,2730.38,0.99813,0.78069,1.16546,0.85539,0.73374,0.80783,0.61756,1.20687,1.0361,1.33539,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864
101,2757.89,0.99043,0.77391,1.16839,0.86105,0.74352,0.81438,0.6187,1.19719,1.03332,1.33603,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075
102,2785.24,0.98626,0.7743,1.16701,0.80838,0.78777,0.8153,0.62173,1.20145,1.01994,1.33997,0.00725237,0.00241746,0.00725237,0.00241746,0.00725237,0.00241746,0.00725237,0.00241746
103,2812.49,0.98704,0.75954,1.16209,0.83845,0.76766,0.81798,0.62425,1.20153,1.03464,1.34879,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855
104,2842.65,0.99701,0.76954,1.16599,0.83458,0.7741,0.81399,0.62243,1.19835,1.02853,1.33982,0.00672243,0.00224081,0.00672243,0.00224081,0.00672243,0.00224081,0.00672243,0.00224081
